"","rnames","variable","value","rank"
"19866","2305","V8261",4167.51,6
"19867","2305","V7486",4226.71,7
"19868","2305","V2301",4598.54,8
"19869","2305","V8260",4842.13,9
"19870","2305","V7476",4978.03,10
"19871","2306","V2294",953.32,1
"19872","2306","V8892",2795.7,2
"19873","2306","V2309",3446.57,3
"19874","2306","V7470",3541.69,4
"19875","2306","V7475",3572.31,5
"19876","2306","V3320",3606.91,6
"19877","2306","V2286",4042.89,7
"19878","2306","V8879",4062.06,8
"19879","2306","V7479",4771.16,9
"19880","2306","V8900",5076.88,10
"19881","2307","V7476",1549.94,1
"19882","2307","V7473",1645.98,2
"19883","2307","V7486",2227.84,3
"19884","2307","V8243",2979.58,4
"19885","2307","V8244",3003.11,5
"19886","2307","V7464",3076.73,6
"19887","2307","V2327",3087.22,7
"19888","2307","V7474",3270.23,8
"19889","2307","V7460",3376.59,9
"19890","2307","V7481",3399.04,10
"19891","2308","V2329",387.1,1
"19892","2308","V2318",790.4,2
"19893","2308","V7457",792.99,3
"19894","2308","V7472",894.09,4
"19895","2308","V2315",987.71,5
"19896","2308","V2302",1071.15,6
"19897","2308","V2292",1416.56,7
"19898","2308","V7471",1512.35,8
"19899","2308","V2299",2094.76,9
"19900","2308","V2319",2135.56,10
"19901","2309","V7479",2750.7,1
"19902","2309","V7480",2942.77,2
"19903","2309","V2306",3446.57,3
"19904","2309","V2294",3587.54,4
"19905","2309","V2312",4623.31,5
"19906","2309","V2311",4798.65,6
"19907","2309","V7484",4810.3,7
"19908","2309","V8892",5062.63,8
"19909","2309","V8900",5417.39,9
"19910","2309","V7478",5896.51,10
"19911","231","V223",710.73,1
"19912","231","V221",2953.07,2
"19913","231","V8307",3281.07,3
"19914","231","V4646",3585.95,4
"19915","231","V4641",3950.92,5
"19916","231","V4647",4672.59,6
"19917","231","V4623",4757.33,7
"19918","231","V225",4768.94,8
"19919","231","V4633",5045.75,9
"19920","231","V4649",5414.77,10
"19921","2310","V7941",1922.27,1
"19922","2310","V8901",2174.06,2
"19923","2310","V8880",2583.4,3
"19924","2310","V10461",2969.65,4
"19925","2310","V8898",3413.86,5
"19926","2310","V10412",3468.17,6
"19927","2310","V6010",3650.98,7
"19928","2310","V6007",3884.82,8
"19929","2310","V8899",3997.24,9
"19930","2310","V3327",4371.03,10
"19931","2311","V7450",2222.33,1
"19932","2311","V7479",2253.09,2
"19933","2311","V2319",2687.37,3
"19934","2311","V7434",2715.43,4
"19935","2311","V2292",3605.33,5
"19936","2311","V2302",3617.03,6
"19937","2311","V7471",3809.56,7
"19938","2311","V7430",4071.21,8
"19939","2311","V2318",4122.68,9
"19940","2311","V2321",4160.86,10
"19941","2312","V7484",1131.49,1
"19942","2312","V10398",2887.94,2
"19943","2312","V7471",3298.77,3
"19944","2312","V7479",3362.42,4
"19945","2312","V7480",3926.1,5
"19946","2312","V2302",4143.93,6
"19947","2312","V7485",4159.93,7
"19948","2312","V2309",4623.31,8
"19949","2312","V7472",4706.3,9
"19950","2312","V7478",4737.01,10
"19951","2313","V7466",1419.45,1
"19952","2313","V7448",2023.49,2
"19953","2313","V7433",2342.05,3
"19954","2313","V7467",2807.18,4
"19955","2313","V7469",2974.08,5
"19956","2313","V2328",3558.19,6
"19957","2313","V7463",3601.41,7
"19958","2313","V7438",3690.41,8
"19959","2313","V7481",4155.04,9
"19960","2313","V2293",4156.66,10
"19961","2314","V7459",514.23,1
"19962","2314","V7430",693.42,2
"19963","2314","V2303",1006.73,3
"19964","2314","V2317",1198.86,4
"19965","2314","V2300",1468.03,5
"19966","2314","V7461",1730.57,6
"19967","2314","V7434",1924.69,7
"19968","2314","V7449",1975.6,8
"19969","2314","V2291",1985.15,9
"19970","2314","V7455",2143.97,10
"19971","2315","V7457",614.95,1
"19972","2315","V2329",645.19,2
"19973","2315","V7472",884.48,3
"19974","2315","V2308",987.71,4
"19975","2315","V2298",1254.46,5
"19976","2315","V2318",1528.54,6
"19977","2315","V2299",1530.51,7
"19978","2315","V7465",1931.71,8
"19979","2315","V2302",2054.42,9
"19980","2315","V2292",2149.63,10
"19981","2316","V10532",808.65,1
"19982","2316","V7462",909.23,2
"19983","2316","V2290",1140.49,3
"19984","2316","V2322",1145.08,4
"19985","2316","V2321",1238.82,5
"19986","2316","V7458",1346.87,6
"19987","2316","V2324",1504.06,7
"19988","2316","V7474",1527.98,8
"19989","2316","V2323",1543.68,9
"19990","2316","V7461",1808.3,10
"19991","2317","V7461",535.14,1
"19992","2317","V7459",793.88,2
"19993","2317","V2303",1112.96,3
"19994","2317","V2314",1198.86,4
"19995","2317","V2291",1252.97,5
"19996","2317","V2300",1423.07,6
"19997","2317","V2321",1539.15,7
"19998","2317","V10532",1558.56,8
"19999","2317","V7430",1584.4,9
"20000","2317","V7462",2018.97,10
"20001","2318","V2292",642.15,1
"20002","2318","V2308",790.4,2
"20003","2318","V2302",885.92,3
"20004","2318","V2329",916.63,4
"20005","2318","V7457",1014.05,5
"20006","2318","V2319",1472.02,6
"20007","2318","V2315",1528.54,7
"20008","2318","V7472",1682.14,8
"20009","2318","V7471",1716.84,9
"20010","2318","V2299",2038.89,10
"20011","2319","V2292",917.96,1
"20012","2319","V2302",1287.85,2
"20013","2319","V2318",1472.02,3
"20014","2319","V7471",2010.4,4
"20015","2319","V2308",2135.56,5
"20016","2319","V2321",2353.44,6
"20017","2319","V7462",2360.94,7
"20018","2319","V2329",2367.51,8
"20019","2319","V7457",2477.34,9
"20020","2319","V2311",2687.37,10
"20021","232","V4648",1013.32,1
"20022","232","V219",1315.18,2
"20023","232","V4642",1739.82,3
"20024","232","V2918",2849.11,4
"20025","232","V4639",3092.75,5
"20026","232","V4633",3811.93,6
"20027","232","V4640",4093.68,7
"20028","232","V4649",4313.72,8
"20029","232","V8310",4957.11,9
"20030","232","V4623",5501.33,10
"20031","2320","V2333",1160.78,1
"20032","2320","V2332",1353.03,2
"20033","2320","V2331",1707.22,3
"20034","2320","V2296",2933.08,4
"20035","2320","V7468",3280.3,5
"20036","2320","V7453",3663.61,6
"20037","2320","V2301",3828.39,7
"20038","2320","V7465",3912.38,8
"20039","2320","V2325",4170.93,9
"20040","2320","V2295",4331,10
"20041","2321","V7462",528.48,1
"20042","2321","V7461",1010.15,2
"20043","2321","V10532",1091.42,3
"20044","2321","V2316",1238.82,4
"20045","2321","V2317",1539.15,5
"20046","2321","V2291",1928.34,6
"20047","2321","V7458",2008.42,7
"20048","2321","V2292",2195.02,8
"20049","2321","V7459",2244.22,9
"20050","2321","V2290",2254.96,10
"20051","2322","V2324",422.94,1
"20052","2322","V2290",595.25,2
"20053","2322","V7474",932.28,3
"20054","2322","V2316",1145.08,4
"20055","2322","V2323",1286.45,5
"20056","2322","V2289",1585.2,6
"20057","2322","V10532",1637.95,7
"20058","2322","V7458",1693.38,8
"20059","2322","V7460",1840.92,9
"20060","2322","V7462",2036.05,10
"20061","2323","V7474",461.94,1
"20062","2323","V2290",694.03,2
"20063","2323","V7454",1088.88,3
"20064","2323","V2322",1286.45,4
"20065","2323","V10532",1309.58,5
"20066","2323","V2291",1379.35,6
"20067","2323","V2316",1543.68,7
"20068","2323","V2324",1627.74,8
"20069","2323","V2300",2163.83,9
"20070","2323","V7461",2290.13,10
"20071","2324","V2322",422.94,1
"20072","2324","V2290",966.19,2
"20073","2324","V7474",1215.5,3
"20074","2324","V2289",1225.22,4
"20075","2324","V7460",1425.21,5
"20076","2324","V2316",1504.06,6
"20077","2324","V2323",1627.74,7
"20078","2324","V7452",1748.32,8
"20079","2324","V7458",1748.49,9
"20080","2324","V7451",2051.66,10
"20081","2325","V7465",620.44,1
"20082","2325","V7453",700.16,2
"20083","2325","V2295",752.1,3
"20084","2325","V10533",805.19,4
"20085","2325","V2326",918.74,5
"20086","2325","V2297",1010.17,6
"20087","2325","V2298",1257.85,7
"20088","2325","V7452",1362.46,8
"20089","2325","V2296",1544.66,9
"20090","2325","V7451",1657.85,10
"20091","2326","V2295",273.65,1
"20092","2326","V2297",778.37,2
"20093","2326","V2325",918.74,3
"20094","2326","V7453",969.44,4
"20095","2326","V7451",1036.1,5
"20096","2326","V10533",1192.43,6
"20097","2326","V7452",1260.73,7
"20098","2326","V2301",1310.3,8
"20099","2326","V7465",1536.95,9
"20100","2326","V2296",1690.59,10
"20101","2327","V7464",1009.99,1
"20102","2327","V7486",1363.78,2
"20103","2327","V7483",1557.05,3
"20104","2327","V7476",1983.77,4
"20105","2327","V7473",2003.71,5
"20106","2327","V8245",2968.89,6
"20107","2327","V2307",3087.22,7
"20108","2327","V2305",3323.84,8
"20109","2327","V8243",3602.46,9
"20110","2327","V2868",3633.91,10
"20111","2328","V8263",1426.1,1
"20112","2328","V7448",1538.49,2
"20113","2328","V7467",1900.01,3
"20114","2328","V2860",2022.44,4
"20115","2328","V7438",2079.68,5
"20116","2328","V2330",2861.64,6
"20117","2328","V7469",3111.03,7
"20118","2328","V7433",3238.61,8
"20119","2328","V2313",3558.19,9
"20120","2328","V8246",3933.99,10
"20121","2329","V2308",387.1,1
"20122","2329","V7457",435.96,2
"20123","2329","V2315",645.19,3
"20124","2329","V7472",895.93,4
"20125","2329","V2318",916.63,5
"20126","2329","V2302",1420.89,6
"20127","2329","V2292",1555.46,7
"20128","2329","V2299",1739.3,8
"20129","2329","V2298",1768.58,9
"20130","2329","V7471",1897.15,10
"20131","233","V4647",2543.9,1
"20132","233","V218",3482.53,2
"20133","233","V10273",3561.77,3
"20134","233","V221",3671.83,4
"20135","233","V2916",4400,5
"20136","233","V225",4882.62,6
"20137","233","V8320",4961.67,7
"20138","233","V4641",5471.97,8
"20139","233","V8311",5708.53,9
"20140","233","V4474",5739.85,10
"20141","2330","V8246",1074.98,1
"20142","2330","V7467",2020,2
"20143","2330","V8232",2079.44,3
"20144","2330","V7481",2247.13,4
"20145","2330","V7469",2248.32,5
"20146","2330","V8250",2449.67,6
"20147","2330","V2855",2740.65,7
"20148","2330","V2328",2861.64,8
"20149","2330","V8263",3024.47,9
"20150","2330","V2848",3061.15,10
"20151","2331","V2332",971.46,1
"20152","2331","V2333",1418.67,2
"20153","2331","V2320",1707.22,3
"20154","2331","V2296",2872.53,4
"20155","2331","V2304",2947.69,5
"20156","2331","V7468",3250.98,6
"20157","2331","V2301",3351.06,7
"20158","2331","V7453",3736.91,8
"20159","2331","V2295",4260.45,9
"20160","2331","V7465",4380.47,10
"20161","2332","V2331",971.46,1
"20162","2332","V2320",1353.03,2
"20163","2332","V2333",1783.45,3
"20164","2332","V7468",2391.51,4
"20165","2332","V2304",3192.18,5
"20166","2332","V2296",3545,6
"20167","2332","V2301",4183.19,7
"20168","2332","V7453",4385.97,8
"20169","2332","V7482",4425.01,9
"20170","2332","V7465",4875.26,10
"20171","2333","V2320",1160.78,1
"20172","2333","V2331",1418.67,2
"20173","2333","V2332",1783.45,3
"20174","2333","V2296",1841.23,4
"20175","2333","V7453",2641.65,5
"20176","2333","V2301",2675.43,6
"20177","2333","V7465",3093.32,7
"20178","2333","V2325",3228.03,8
"20179","2333","V2295",3271.99,9
"20180","2333","V2326",3530.86,10
"20181","2334","V7593",902.96,1
"20182","2334","V10280",1074.76,2
"20183","2334","V363",1228.85,3
"20184","2334","V352",2002.72,4
"20185","2334","V367",2040.95,5
"20186","2334","V369",3218.53,6
"20187","2334","V2460",3338.62,7
"20188","2334","V366",3438.8,8
"20189","2334","V7594",3909.02,9
"20190","2334","V8341",4105.33,10
"20191","2335","V1459",1921.33,1
"20192","2335","V6350",2369.67,2
"20193","2335","V792",4324.84,3
"20194","2335","V5428",4499.65,4
"20195","2335","V5436",4767.08,5
"20196","2335","V5430",5335.38,6
"20197","2335","V1465",5545.53,7
"20198","2335","V5433",5914.37,8
"20199","2335","V5435",5962.8,9
"20200","2335","V6347",6005.39,10
"20201","2336","V3586",2211.63,1
"20202","2336","V9205",2422.22,2
"20203","2336","V9199",3208.71,3
"20204","2336","V2353",3364.11,4
"20205","2336","V7502",3531.23,5
"20206","2336","V3588",3976.89,6
"20207","2336","V3594",4649.12,7
"20208","2336","V3596",5011.09,8
"20209","2336","V2344",5417.57,9
"20210","2336","V2349",5495.72,10
"20211","2337","V7497",1355.34,1
"20212","2337","V2350",1734.58,2
"20213","2337","V2342",2795.06,3
"20214","2337","V371",3133.14,4
"20215","2337","V7496",3490.57,5
"20216","2337","V2348",3502.84,6
"20217","2337","V4871",4185.97,7
"20218","2337","V2352",4244.31,8
"20219","2337","V7492",4420.75,9
"20220","2337","V7499",4466.79,10
"20221","2338","V7504",2050.82,1
"20222","2338","V7503",2294.04,2
"20223","2338","V2349",3856.12,3
"20224","2338","V3324",4117.03,4
"20225","2338","V2343",4197.13,5
"20226","2338","V7493",4277.28,6
"20227","2338","V5658",4773.76,7
"20228","2338","V2351",4810.81,8
"20229","2338","V7501",5096.53,9
"20230","2338","V7495",5287.88,10
"20231","2339","V7494",1892.85,1
"20232","2339","V7495",2119.21,2
"20233","2339","V9079",2208.3,3
"20234","2339","V3450",2352.69,4
"20235","2339","V3451",2662.6,5
"20236","2339","V3453",3318.19,6
"20237","2339","V7501",3368.8,7
"20238","2339","V7491",4059.6,8
"20239","2339","V3329",5156.5,9
"20240","2339","V2347",5765.72,10
"20241","234","V264",527.92,1
"20242","234","V4666",649.74,2
"20243","234","V4684",843.45,3
"20244","234","V259",1551.07,4
"20245","234","V261",1660.17,5
"20246","234","V4670",1769.79,6
"20247","234","V4683",1803.21,7
"20248","234","V260",2096.04,8
"20249","234","V262",2106.83,9
"20250","234","V265",2126.31,10
"20251","2340","V2353",2756.45,1
"20252","2340","V2346",3371.57,2
"20253","2340","V7492",3749.07,3
"20254","2340","V7499",4152.06,4
"20255","2340","V2351",4325.54,5
"20256","2340","V3596",5312.4,6
"20257","2340","V7496",5547.01,7
"20258","2340","V2336",6117.4,8
"20259","2340","V2345",6220.43,9
"20260","2340","V7502",6427.95,10
"20261","2341","V7500",1251.87,1
"20262","2341","V7498",1914.5,2
"20263","2341","V2345",2899.64,3
"20264","2341","V9078",3044.84,4
"20265","2341","V2347",3190.36,5
"20266","2341","V9073",3818.93,6
"20267","2341","V3446",3992.96,7
"20268","2341","V2352",4122.93,8
"20269","2341","V9076",4481.48,9
"20270","2341","V6973",4768.85,10
"20271","2342","V7497",1500.5,1
"20272","2342","V2337",2795.06,2
"20273","2342","V8590",2945.85,3
"20274","2342","V8592",2983.11,4
"20275","2342","V371",3289.34,5
"20276","2342","V3137",3312.19,6
"20277","2342","V2350",3682.8,7
"20278","2342","V2352",3845.53,8
"20279","2342","V9076",4487.46,9
"20280","2342","V2348",5030.7,10
"20281","2343","V7504",2495.84,1
"20282","2343","V8883",3240.24,2
"20283","2343","V10462",3278.58,3
"20284","2343","V7493",3311,4
"20285","2343","V2338",4197.13,5
"20286","2343","V8881",4466.56,6
"20287","2343","V3324",4532.3,7
"20288","2343","V8889",4615.88,8
"20289","2343","V5658",5251.03,9
"20290","2343","V8895",6174.35,10
"20291","2344","V5658",1603.76,1
"20292","2344","V9206",2708.39,2
"20293","2344","V7502",2886.82,3
"20294","2344","V7493",3431.61,4
"20295","2344","V2349",3544.62,5
"20296","2344","V8881",3684.65,6
"20297","2344","V3588",5328.09,7
"20298","2344","V3335",5330.92,8
"20299","2344","V2336",5417.57,9
"20300","2344","V8882",5643.07,10
"20301","2345","V7500",1823.5,1
"20302","2345","V2347",2259.22,2
"20303","2345","V2346",2885.65,3
"20304","2345","V2341",2899.64,4
"20305","2345","V7499",2976.92,5
"20306","2345","V2350",4064.69,6
"20307","2345","V7491",4207.23,7
"20308","2345","V7498",4467.29,8
"20309","2345","V7492",4479.82,9
"20310","2345","V2352",5394.55,10
"20311","2346","V7499",1437.74,1
"20312","2346","V7492",2447.88,2
"20313","2346","V2345",2885.65,3
"20314","2346","V2340",3371.57,4
"20315","2346","V2347",4242.31,5
"20316","2346","V7500",4628.93,6
"20317","2346","V7496",4705.16,7
"20318","2346","V2350",4923.43,8
"20319","2346","V7491",5129.52,9
"20320","2346","V2341",5777.98,10
"20321","2347","V7491",2218.54,1
"20322","2347","V2345",2259.22,2
"20323","2347","V7500",2934.07,3
"20324","2347","V2341",3190.36,4
"20325","2347","V3451",3939.78,5
"20326","2347","V2346",4242.31,6
"20327","2347","V7501",4336.79,7
"20328","2347","V9073",4553.98,8
"20329","2347","V7499",4908.42,9
"20330","2347","V7498",5104.43,10
"20331","2348","V4871",877.04,1
"20332","2348","V371",2207.76,2
"20333","2348","V7496",2733.76,3
"20334","2348","V2337",3502.84,4
"20335","2348","V4868",3508.47,5
"20336","2348","V7497",4307.77,6
"20337","2348","V380",4483.86,7
"20338","2348","V7492",4980.87,8
"20339","2348","V2342",5030.7,9
"20340","2348","V2350",5059.13,10
"20341","2349","V7502",2081.68,1
"20342","2349","V2351",2551.34,2
"20343","2349","V5658",2835.23,3
"20344","2349","V2344",3544.62,4
"20345","2349","V7503",3644.22,5
"20346","2349","V2338",3856.12,6
"20347","2349","V7493",4190.92,7
"20348","2349","V2353",5444.05,8
"20349","2349","V7504",5461.59,9
"20350","2349","V2336",5495.72,10
"20351","235","V243",2092.19,1
"20352","235","V10190",2179.32,2
"20353","235","V4663",2302.1,3
"20354","235","V4674",3435.23,4
"20355","235","V245",3727.91,5
"20356","235","V236",3797.41,6
"20357","235","V267",4068.48,7
"20358","235","V4653",4124.77,8
"20359","235","V4683",4423.63,9
"20360","235","V10451",4423.87,10
"20361","2350","V2337",1734.58,1
"20362","2350","V7497",2273.8,2
"20363","2350","V2352",3233.94,3
"20364","2350","V7499",3653.5,4
"20365","2350","V2342",3682.8,5
"20366","2350","V7500",3835.77,6
"20367","2350","V2345",4064.69,7
"20368","2350","V7492",4195.34,8
"20369","2350","V7496",4210.21,9
"20370","2350","V9076",4391.89,10
"20371","2351","V2349",2551.34,1
"20372","2351","V7503",3224.78,2
"20373","2351","V7502",3414.73,3
"20374","2351","V2353",3990.06,4
"20375","2351","V2340",4325.54,5
"20376","2351","V2338",4810.81,6
"20377","2351","V5658",5381.79,7
"20378","2351","V7501",5516.21,8
"20379","2351","V2336",5603.83,9
"20380","2351","V2344",5879.45,10
"20381","2352","V9076",1158.16,1
"20382","2352","V6973",2219.67,2
"20383","2352","V7498",2819.39,3
"20384","2352","V2350",3233.94,4
"20385","2352","V7497",3525.03,5
"20386","2352","V2342",3845.53,6
"20387","2352","V7500",3991.84,7
"20388","2352","V3137",4015.62,8
"20389","2352","V2341",4122.93,9
"20390","2352","V2337",4244.31,10
"20391","2353","V2340",2756.45,1
"20392","2353","V2336",3364.11,2
"20393","2353","V2351",3990.06,3
"20394","2353","V3596",4093.23,4
"20395","2353","V9205",4103.73,5
"20396","2353","V7502",4444.24,6
"20397","2353","V9199",5222,7
"20398","2353","V3586",5292.14,8
"20399","2353","V2349",5444.05,9
"20400","2353","V3595",5734.61,10
"20401","2354","V2355",1567.78,1
"20402","2354","V7598",1603.69,2
"20403","2354","V10506",1631.46,3
"20404","2354","V669",2223.09,4
"20405","2354","V5670",3376.04,5
"20406","2354","V5253",3399.01,6
"20407","2354","V9933",3429.72,7
"20408","2354","V10458",4143.72,8
"20409","2354","V318",5000.23,9
"20410","2354","V323",5080.12,10
"20411","2355","V2354",1567.78,1
"20412","2355","V9933",1888.85,2
"20413","2355","V10506",2250.39,3
"20414","2355","V7598",2997.69,4
"20415","2355","V669",3173.16,5
"20416","2355","V323",3545.01,6
"20417","2355","V5253",4084.1,7
"20418","2355","V318",4095.93,8
"20419","2355","V5670",4387.59,9
"20420","2355","V10458",4699.03,10
"20421","2356","V7507",423.73,1
"20422","2356","V9156",2079.36,2
"20423","2356","V1808",2694.29,3
"20424","2356","V5158",3000.4,4
"20425","2356","V8331",3181.95,5
"20426","2356","V3940",3731.69,6
"20427","2356","V9",3800.86,7
"20428","2356","V3389",4073.31,8
"20429","2356","V14",4209.85,9
"20430","2356","V10",4293.69,10
"20431","2357","V4364",1865.81,1
"20432","2357","V4796",2017.34,2
"20433","2357","V8720",2323.9,3
"20434","2357","V3609",2746.71,4
"20435","2357","V8719",3107.58,5
"20436","2357","V5",3165.61,6
"20437","2357","V2361",3327.88,7
"20438","2357","V2363",3823.97,8
"20439","2357","V8718",4318.05,9
"20440","2357","V3218",4712.3,10
"20441","2358","V384",2031.36,1
"20442","2358","V7508",3060.63,2
"20443","2358","V391",3446.49,3
"20444","2358","V4875",3522.66,4
"20445","2358","V388",3538.81,5
"20446","2358","V383",3762.8,6
"20447","2358","V4872",4413.18,7
"20448","2358","V394",4896.69,8
"20449","2358","V10399",5052.44,9
"20450","2358","V7509",5748.55,10
"20451","2359","V2361",3029.27,1
"20452","2359","V7746",3740.41,2
"20453","2359","V2371",3797.49,3
"20454","2359","V3609",3833.89,4
"20455","2359","V7509",3834.91,5
"20456","2359","V2360",4183.77,6
"20457","2359","V2516",5107.88,7
"20458","2359","V2363",5856.48,8
"20459","2359","V4796",5930.24,9
"20460","2359","V2368",6199.7,10
"20461","236","V4653",938.81,1
"20462","236","V267",1457.77,2
"20463","236","V268",1704.32,3
"20464","236","V4663",1913.91,4
"20465","236","V4675",1934.39,5
"20466","236","V4665",2000.96,6
"20467","236","V270",2045.71,7
"20468","236","V242",2046.67,8
"20469","236","V4671",2260.95,9
"20470","236","V4652",2368.64,10
"20471","2360","V2364",2084.35,1
"20472","2360","V7509",2478.32,2
"20473","2360","V2361",3015.4,3
"20474","2360","V4796",3777.39,4
"20475","2360","V2359",4183.77,5
"20476","2360","V3609",4834.47,6
"20477","2360","V4872",5366.3,7
"20478","2360","V2357",5368.73,8
"20479","2360","V8719",5932.46,9
"20480","2360","V7508",5971.51,10
"20481","2361","V3609",1832.62,1
"20482","2361","V4796",2943.84,2
"20483","2361","V2360",3015.4,3
"20484","2361","V2359",3029.27,4
"20485","2361","V2357",3327.88,5
"20486","2361","V2363",4486.66,6
"20487","2361","V7509",4532.39,7
"20488","2361","V2364",4728.74,8
"20489","2361","V4364",4753.27,9
"20490","2361","V2371",5027.07,10
"20491","2362","V2369",2126.4,1
"20492","2362","V2363",2780.96,2
"20493","2362","V7510",3557.7,3
"20494","2362","V3209",3566.9,4
"20495","2362","V2371",4828.43,5
"20496","2362","V2368",5084.33,6
"20497","2362","V3218",5214.25,7
"20498","2362","V3609",5323.28,8
"20499","2362","V3211",5368.23,9
"20500","2362","V8720",5515.62,10
"20501","2363","V3609",2654.25,1
"20502","2363","V2362",2780.96,2
"20503","2363","V8720",3545.39,3
"20504","2363","V2357",3823.97,4
"20505","2363","V2371",4176.21,5
"20506","2363","V3218",4474.3,6
"20507","2363","V2361",4486.66,7
"20508","2363","V2369",4707.57,8
"20509","2363","V3209",4838.62,9
"20510","2363","V5",5433.01,10
"20511","2364","V2360",2084.35,1
"20512","2364","V4872",3455.29,2
"20513","2364","V7509",3831.96,3
"20514","2364","V7383",3950.65,4
"20515","2364","V4796",4165.33,5
"20516","2364","V2235",4318.95,6
"20517","2364","V2361",4728.74,7
"20518","2364","V7382",5167.44,8
"20519","2364","V8719",5567.91,9
"20520","2364","V4875",5940,10
"20521","2365","V2517",3232.47,1
"20522","2365","V2367",3989.97,2
"20523","2365","V2518",4007.87,3
"20524","2365","V9250",4398.42,4
"20525","2365","V2515",4510.59,5
"20526","2365","V7511",5393.77,6
"20527","2365","V7737",6155.2,7
"20528","2365","V2519",6219.78,8
"20529","2365","V2525",6756.44,9
"20530","2365","V2368",6838.78,10
"20531","2366","V2370",2301.78,1
"20532","2366","V7510",4121.76,2
"20533","2366","V3211",4635.12,3
"20534","2366","V2369",4954.66,4
"20535","2366","V7511",5349.29,5
"20536","2366","V9250",5449.8,6
"20537","2366","V2367",6420.16,7
"20538","2366","V2362",6848.93,8
"20539","2366","V3215",7257.7,9
"20540","2366","V2368",7758.23,10
"20541","2367","V2365",3989.97,1
"20542","2367","V9250",4007.82,2
"20543","2367","V7511",5181.47,3
"20544","2367","V2366",6420.16,4
"20545","2367","V2517",7155.5,5
"20546","2367","V2518",7353.91,6
"20547","2367","V2368",7915.07,7
"20548","2367","V2515",8413.1,8
"20549","2367","V2369",8620.75,9
"20550","2367","V2370",8688.54,10
"20551","2368","V2371",2608.52,1
"20552","2368","V7511",2992.77,2
"20553","2368","V9250",3966.56,3
"20554","2368","V2369",4310.55,4
"20555","2368","V2362",5084.33,5
"20556","2368","V2519",5225.77,6
"20557","2368","V2363",5792.25,7
"20558","2368","V2359",6199.7,8
"20559","2368","V3609",6591.47,9
"20560","2368","V2517",6729.35,10
"20561","2369","V2362",2126.4,1
"20562","2369","V7510",2795.42,2
"20563","2369","V7511",4080.79,3
"20564","2369","V2368",4310.55,4
"20565","2369","V2363",4707.57,5
"20566","2369","V2370",4730.8,6
"20567","2369","V3209",4852.44,7
"20568","2369","V3211",4871.75,8
"20569","2369","V2366",4954.66,9
"20570","2369","V9250",5168.52,10
"20571","237","V271",518.87,1
"20572","237","V4661",774.26,2
"20573","237","V4660",815.88,3
"20574","237","V4673",981.89,4
"20575","237","V4658",1098.21,5
"20576","237","V4667",1232.05,6
"20577","237","V262",1274.14,7
"20578","237","V4659",1324.21,8
"20579","237","V4662",1840.96,9
"20580","237","V4669",1845.21,10
"20581","2370","V2366",2301.78,1
"20582","2370","V3211",2400.95,2
"20583","2370","V7510",2653.97,3
"20584","2370","V2369",4730.8,4
"20585","2370","V3215",4955.92,5
"20586","2370","V3209",6064.37,6
"20587","2370","V2362",6091.23,7
"20588","2370","V10452",6138.56,8
"20589","2370","V7511",6725.34,9
"20590","2370","V9250",7155.73,10
"20591","2371","V2368",2608.52,1
"20592","2371","V2359",3797.49,2
"20593","2371","V3609",4168.38,3
"20594","2371","V2363",4176.21,4
"20595","2371","V2362",4828.43,5
"20596","2371","V2361",5027.07,6
"20597","2371","V2369",5184.38,7
"20598","2371","V7511",5506.63,8
"20599","2371","V7746",5842.33,9
"20600","2371","V2519",5898.05,10
"20601","2372","V9870",1556.25,1
"20602","2372","V9866",2111.07,2
"20603","2372","V31",2225.86,3
"20604","2372","V9164",2238.52,4
"20605","2372","V4073",2492.98,5
"20606","2372","V2420",2552.09,6
"20607","2372","V3547",2676.11,7
"20608","2372","V7549",2726.77,8
"20609","2372","V4066",2832.96,9
"20610","2372","V4067",2856.77,10
"20611","2373","V7513",1377.76,1
"20612","2373","V7521",1431.88,2
"20613","2373","V7514",1478.89,3
"20614","2373","V7520",1608.87,4
"20615","2373","V6241",1781.22,5
"20616","2373","V7937",2063.47,6
"20617","2373","V7522",2677.6,7
"20618","2373","V7519",2753.88,8
"20619","2373","V7515",2922.56,9
"20620","2373","V8741",2927.03,10
"20621","2374","V9146",2141.57,1
"20622","2374","V7518",2314.91,2
"20623","2374","V2376",2522.58,3
"20624","2374","V8203",3044.78,4
"20625","2374","V2377",3172.54,5
"20626","2374","V7517",3264.81,6
"20627","2374","V9659",3405.54,7
"20628","2374","V2663",4212.92,8
"20629","2374","V7516",4624.79,9
"20630","2374","V8043",4975.28,10
"20631","2375","V2380",2797.03,1
"20632","2375","V2381",3995.97,2
"20633","2375","V7512",4129.97,3
"20634","2375","V2379",5402.89,4
"20635","2375","V2382",5521.41,5
"20636","2375","V9144",5581.41,6
"20637","2375","V6179",5615.33,7
"20638","2375","V8048",5838.76,8
"20639","2375","V2378",7308.87,9
"20640","2375","V3526",7455.96,10
"20641","2376","V7518",1588.26,1
"20642","2376","V7517",1725.43,2
"20643","2376","V2374",2522.58,3
"20644","2376","V9146",2695,4
"20645","2376","V8043",2906.56,5
"20646","2376","V2728",3505.95,6
"20647","2376","V7516",3586.23,7
"20648","2376","V9659",4442.83,8
"20649","2376","V2377",4809.52,9
"20650","2376","V8048",5108.82,10
"20651","2377","V8203",2201.72,1
"20652","2377","V9146",2234.76,2
